(pprof) top10
Showing nodes accounting for 521552, 20.43% of 2552363 total
Dropped 56 nodes (cum <= 12761)
Showing top 10 nodes out of 130
      flat  flat%   sum%        cum   cum%
    293575 11.50% 11.50%     315421 12.36%  github.com/prometheus/prometheus/vendor/github.com/prometheus/tsdb.(*SegmentWAL).Truncate /go/src/github.com/prometheus/prometheus/vendor/github.com/prometheus/tsdb/wal.go
    220917  8.66% 20.16%     220917  8.66%  github.com/prometheus/prometheus/vendor/github.com/prometheus/tsdb/index.(*uint32slice).Less <autogenerated>
     65537  2.57% 22.73%      65537  2.57%  github.com/prometheus/prometheus/vendor/github.com/prometheus/tsdb/index.(*Writer).Close /go/src/github.com/prometheus/prometheus/vendor/github.com/prometheus/tsdb/index/index.go
    -54613  2.14% 20.59%     -54613  2.14%  github.com/prometheus/prometheus/vendor/github.com/ugorji/go/codec.(*fastpathT).EncMapInt8Int8V <autogenerated>
     32768  1.28% 21.87%      32768  1.28%  github.com/prometheus/prometheus/promql.putPointSlice /go/src/github.com/prometheus/prometheus/promql/engine.go
    -25401     1% 20.87%     -25401     1%  github.com/prometheus/prometheus/storage.(*fanoutAppender).Rollback /go/src/github.com/prometheus/prometheus/storage/fanout.go
    -23149  0.91% 19.97%     -23149  0.91%  github.com/prometheus/prometheus/scrape.(*Target).URL /go/src/github.com/prometheus/prometheus/scrape/target.go
    -21846  0.86% 19.11%     -21846  0.86%  github.com/prometheus/prometheus/vendor/github.com/golang/protobuf/protoc-gen-go/descriptor.(*FileOptions).GetOptimizeFor
     21846  0.86% 19.97%      21846  0.86%  github.com/prometheus/prometheus/vendor/github.com/prometheus/tsdb/index.(*Writer).WritePostings /go/src/github.com/prometheus/prometheus/vendor/github.com/prometheus/tsdb/index/index.go
     11918  0.47% 20.43%     -51026  2.00%  github.com/prometheus/prometheus/vendor/github.com/prometheus/tsdb.(*SegmentWAL).truncate /go/src/github.com/prometheus/prometheus/vendor/github.com/prometheus/tsdb/wal.go
